URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87181216,24.714285714285715,57,10.734647318902681,28453.128571428573,115899.0,1991719.0,27804.805905080215,0.3581780538302277,1151.2826589595377,0.04346734396017134,0.6240527988266927,0.06677789956562336,0.07353494022189064
M87149014,29.4,59,12.776541002947551,32637.814285714285,147778.5,2284647.0,33235.51540619628,0.4260869565217391,1110.1297376093294,0.03342116847821552,0.6775052236883533,0.04814172045629847,0.07338942218831535
M87151453,27.2,57,11.431285392040815,36437.94285714286,147894.5,2550656.0,39397.02770700773,0.39420289855072466,1339.6302521008404,0.036756520483276635,0.6545602385147039,0.053288271830471315,0.0684901892923563
M87193409,29.714285714285715,60,12.330152191324506,43024.05714285714,193635.0,3011684.0,46458.589055780394,0.4306418219461698,1447.925,0.036200155209312995,0.6798260572987722,0.052741112255178746,0.072729613630802
M87164412,27.057142857142857,52,11.3564150710207,31451.27142857143,127273.0,2201589.0,28968.707090544358,0.3921325051759834,1162.4017951425553,0.04619820047110857,0.6517985611510791,0.04658385093167702,0.07253883732669425
M87121943,27.228571428571428,60,12.279101210211286,33995.52857142857,172841.0,2379687.0,35017.99684344831,0.3946169772256729,1248.5241343126968,0.03289297059178075,0.6371023684471311,0.049371089015316276,0.07001275115883383
M87164886,25.65714285714286,56,10.444254352494093,32042.9,137881.5,2243003.0,31986.810211688375,0.3718426501035197,1248.8880846325167,0.039160603801903754,0.637095531587057,0.05306296431616125,0.07140447724434289
M87108094,34.114285714285714,64,14.162871840679424,35255.74285714285,171150.0,2467902.0,36043.271284541035,0.49440993788819876,1033.4597989949748,0.029285937124301765,0.7013681565325716,0.045155243256722974,0.07350258180624009
M87151117,24.285714285714285,48,10.064283179559652,29018.585714285713,143750.0,2031301.0,27421.09302994574,0.35196687370600416,1194.8829411764707,0.034884551171293444,0.6503127945839403,0.0483966630130313,0.07125293115841229
M87123449,24.4,53,10.023401190642398,29277.942857142858,112112.0,2049456.0,26004.032822751447,0.3536231884057971,1199.9156908665104,0.03682795038661315,0.6377872340425532,0.05160962935898999,0.07455907307553374
